#ASTRONG;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
sign;name;;;;;;;;;;;;;;;;;quant;;;cost;;;;weight;;;;;;;;;;;;;;;;;;
; Педаль в сборе *Инвойс 02/0120 от 21.01.2020 *Великобритания;;;;;;;;;;;;;;шт;;;1;;;57.56;;;;57.56;;;;;0%;;;;;;;;57.56;;;;;0.000647
; Ноускат (совокупность деталей передней части автомобиля, включающая: бампер, его усилитель, переднюю оптику, рамку радиатора, радиаторы) *Инвойс 21/0420 от 08.04.2020 *Великобритания;;;;;;;;;;;;;;шт;;;1;;;5 493.18;;;;5 493.18;;;;;0%;;;;;;;;5 493.18;;;;;0.05428
; Панель управления печкой *Инвойс 07/0319 от 21.03.2019 *Великобритания;;;;;;;;;;;;;;шт;;;3;;;15;;;;45;;;;;0%;;;;;;;;45;;;;;0.0018
; Переключатель рулевой колонки  *Инвойс 07/0319 от 21.03.2019 *Великобритания;;;;;;;;;;;;;;шт;;;2;;;17;;;;34;;;;;0%;;;;;;;;34;;;;;0.000734
; Поддон *Инвойс 000008 от 24.10.2018 *Германия;;;;;;;;;;;;;;шт;;;1;;;500;;;;500;;;;;0%;;;;;;;;500;;;;;0.001
; Подкрылок (защита крыла) в сборе  *Великобритания;;;;;;;;;;;;;;шт;;;2;;;155.64;;;;311.28;;;;;0%;;;;;;;;311.28;;;;;0.00266
; Подлокотник *Инвойс 44/1019 от 04.10.2019 *Великобритания;;;;;;;;;;;;;;шт;;;2;;;250;;;;500;;;;;0%;;;;;;;;500;;;;;0.0028
; Радиатор масляный (теплообменник) *Инвойс 55/1119 от 28.11.2019 *Великобритания;;;;;;;;;;;;;;шт;;;2;;;650;;;;1 300.00;;;;;0%;;;;;;;;1 300.00;;;;;0.0018
; Рейка рулевая в сборе *Инвойс 27/0619 от 29.06.2019 *Германия;;;;;;;;;;;;;;шт;;;1;;;950;;;;950;;;;;0%;;;;;;;;950;;;;;0.010446
; Рейлинг в сборе *Германия;;;;;;;;;;;;;;шт;;;1;;;318.62;;;;318.62;;;;;0%;;;;;;;;318.62;;;;;0.00253
; Ролик двери сдвижной в сборе *Инвойс 04/0220 от 05.02.2020 *Великобритания;;;;;;;;;;;;;;шт;;;1;;;219.72;;;;219.72;;;;;0%;;;;;;;;219.72;;;;;0.000714
; Руль (рулевое колесо) в сборе *Великобритания;;;;;;;;;;;;;;шт;;;1;;;281.21;;;;281.21;;;;;0%;;;;;;;;281.21;;;;;0.00296
; Ручка двери наружная б/у *Инвойс 39/0919 от 10.09.2019 *Великобритания;;;;;;;;;;;;;;шт;;;3;;;220;;;;660;;;;;0%;;;;;;;;660;;;;;0.000798
; Рычаг подвески в сборе *Инвойс 57/1219 от 12.12.2019 *Германия;;;;;;;;;;;;;;шт;;;1;;;181.07;;;;181.07;;;;;0%;;;;;;;;181.07;;;;;0.002333
; Стартер *Германия;;;;;;;;;;;;;;шт;;;1;;;1 318.94;;;;1 318.94;;;;;0%;;;;;;;;1 318.94;;;;;0.0018
; Стеклоподъемный механизм в сборе *Инвойс 14/0320 от 07.03.2020 *Великобритания;;;;;;;;;;;;;;шт;;;7;;;85.02;;;;595.14;;;;;0%;;;;;;;;595.14;;;;;0.0168
; Стойка подвески в сборе (МакФерсон) *Германия;;;;;;;;;;;;;;шт;;;2;;;1 705.94;;;;3 411.88;;;;;0%;;;;;;;;3 411.88;;;;;0.029
; Ступица *Инвойс 000011 от 01.12.2018 *Германия;;;;;;;;;;;;;;шт;;;2;;;30;;;;60;;;;;0%;;;;;;;;60;;;;;0.005
; Суппорт в сборе *Германия;;;;;;;;;;;;;;шт;;;6;;;44.67;;;;268.02;;;;;0%;;;;;;;;268.02;;;;;0.01464
; ТНВД (насос топливный дизельный) в сборе *Инвойс 21/0420 от 08.04.2020 *Великобритания;;;;;;;;;;;;;;шт;;;2;;;6 689.47;;;;13 378.94;;;;;0%;;;;;;;;13 378.94;;;;;0.009
; Усилитель бампера *Инвойс 15/0320 от 13.03.2020 *Германия;;;;;;;;;;;;;;шт;;;1;;;543.18;;;;543.18;;;;;0%;;;;;;;;543.18;;;;;0.004336
; Усилитель тормозов (цилиндр вакуумный) в сборе *Республика Корея;;;;;;;;;;;;;;шт;;;1;;;167.99;;;;167.99;;;;;0%;;;;;;;;167.99;;;;;0.00554
; Фара в сборе *Германия;;;;;;;;;;;;;;шт;;;3;;;169.31;;;;507.93;;;;;0%;;;;;;;;507.93;;;;;0.00834
; Фара противотуманная *Инвойс 55/1119 от 28.11.2019 *Великобритания;;;;;;;;;;;;;;шт;;;1;;;75;;;;75;;;;;0%;;;;;;;;75;;;;;0.0001
; Фонарь в сборе *Инвойс 21/0420 от 08.04.2020 *Великобритания;;;;;;;;;;;;;;шт;;;8;;;85.02;;;;680.16;;;;;0%;;;;;;;;680.16;;;;;0.011912
; Форсунка в сборе *Инвойс 06/0220 от 11.02.2020 *Великобритания;;;;;;;;;;;;;;шт;;;9;;;19.62;;;;176.58;;;;;0%;;;;;;;;176.58;;;;;0.004689
; Электроусилитель руля *Инвойс 53/1119 от 21.11.2019 *Германия;;;;;;;;;;;;;;шт;;;1;;;450;;;;450;;;;;0%;;;;;;;;450;;;;;0.0017
